Gene	Symbol	Description At Homolog	
Zm00001d005535	akh2	aspartate kinase homoserine dehydrogenase2	AT4G19710,AT1G31230
Zm00001d005538		Transducin family protein / WD-40 repeat family protein	
Zm00001d005539	pco095974	Ferrochelatase	AT5G26030
Zm00001d005540		S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	
Zm00001d005542	ppt1	plastid phosphate/phosphoenolpyruvate translocator1	AT5G33320
Zm00001d005543		Chaperone protein dnaJ 3	
Zm00001d005544		ARM repeat superfamily protein	
Zm00001d005546	agp1	ADP glucose pyrophosphorylase small subunit embryo 1	AT5G48300
Zm00001d005547		Protein PHR1-LIKE 3	AT4G13640,AT3G24120
Zm00001d005550		Phosphatidylinositol N-acetylglucosaminyltransferase GPI19/PIG-P subunit	AT2G39445,AT1G61280
Zm00001d005551		E3 ubiquitin-protein ligase ORTHRUS 2	
Zm00001d005554		Two-pore potassium channel 3	AT5G46370,AT4G18160
Zm00001d005557		late embryogenesis abundant protein	
Zm00001d005558		Putative leucyl-tRNA synthetase	AT1G09620
Zm00001d005561		Triacylglycerol lipase SDP1	
Zm00001d005562		Cell division cycle 20.1 cofactor of APC complex	
Zm00001d005563	sdg110b	Histone-lysine N-methyltransferase ASHH3	AT2G44150,AT3G59960
Zm00001d005566		Zinc finger%2C C2H2 type family protein	AT1G13290
Zm00001d005570	IDP2141	TPX2 (targeting protein for Xklp2) protein family	AT5G37478
Zm00001d005573		Mediator of RNA polymerase II transcription subunit 25	AT1G25540
Zm00001d005577		Cytochrome P450 84A1	
Zm00001d005578	bzip40	bZIP-transcription factor 40	
Zm00001d005579		Lipid phosphate phosphatase 2	AT1G15080
Zm00001d005580		Putative E3 ubiquitin-protein ligase RING1a	
Zm00001d005584	hb131	Homeobox-transcription factor 131	AT3G18380
Zm00001d005586		Peroxisome biogenesis protein 3-1	AT3G18160,AT1G48635
Zm00001d005587		Phosphatidate cytidylyltransferase	AT1G62430,AT4G22340
Zm00001d005590	nbcs5	nucleobase:cation symporter5	AT2G34190
Zm00001d005591		OSJNBa0089E12.13 protein;  protein	
Zm00001d005594		Sugar transport protein 14	
Zm00001d005598		UDP-glucose 4-epimerase 4	
Zm00001d005599		RING/U-box superfamily protein	
Zm00001d005602		Probable indole-3-pyruvate monooxygenase YUCCA3	
Zm00001d005607		Spermidine hydroxycinnamoyl transferase	
Zm00001d005608		40S ribosomal protein S4-3	
Zm00001d005609	prh7	protein phosphatase homolog7	
Zm00001d005612	pco097124a	Ras-related protein RABA6a	AT3G15060,AT5G60860
Zm00001d005614	cl56262_1	Bifunctional protein FolD 1 mitochondrial	AT2G38660
Zm00001d005616		OBP32pep	
Zm00001d005620		UDP-glycosyltransferase 82A1	AT3G22250
Zm00001d005621		NPL4-like protein 1	
Zm00001d005622	wrky38	WRKY-transcription factor 38	AT5G24110
Zm00001d005624		Delta(8)-fatty-acid desaturase 2	AT3G61580,AT2G46210
Zm00001d005627		Serine carboxypeptidase-like 19	AT3G10450,AT2G23010,AT5G36180,AT3G12240,AT1G73290,AT1G33540,AT2G23000,AT3G12220,AT3G12203,AT2G22920,AT2G22970,AT1G73270,AT2G22990,AT1G73280,AT1G73300,AT1G73310,AT2G22980,AT3G12230
Zm00001d005629		Sulfite exporter TauE/SafE family protein	
Zm00001d005630		RING/U-box superfamily protein	AT3G58720
Zm00001d005631		Dendritic cell-derived ubiquitin-like protein	AT1G53400,AT5G45740
Zm00001d005632		NADH kinase	AT1G78590
Zm00001d005636	umc1004	Proton pump-interactor 1	AT4G27500
Zm00001d005638		Retinol dehydrogenase 13	AT2G25800
Zm00001d005641		Putative methyltransferase family protein	AT4G14000
Zm00001d005642		60S ribosomal protein L35a-2	AT1G07070,AT3G55750,AT1G41880,AT1G74270
Zm00001d005645		Uncharacterised conserved protein UCP009193	AT4G09830
Zm00001d005647		Probable receptor-like protein kinase	AT5G15080,AT3G01300
Zm00001d005648	hir2	hypersensitive induced response2	
Zm00001d005649	vdac1a	voltage-dependent anion channel protein1a	AT5G15090,AT3G01280
Zm00001d005650	sdg119	set domain gene119	AT2G22740,AT2G35160
Zm00001d005652		Probable beta-14-xylosyltransferase IRX14	
Zm00001d005656		Heavy metal transport/detoxification superfamily protein	AT4G39700
Zm00001d005658	trpp2	trehalose-6-phosphate phosphatase2	AT5G65140,AT2G22190,AT4G39770,AT5G10100
Zm00001d005662		Protein SCO1 homolog 2 mitochondrial	AT4G39740
Zm00001d005663		Succinate dehydrogenase [ubiquinone] iron-sulfur subunit 3 mitochondrial	
Zm00001d005664		VQ motif-containing protein	
Zm00001d005666		Pumilio homolog 12	
Zm00001d005671	tlc5	TRAM/LAG/CRN8 5	AT1G13580,AT3G25540
Zm00001d005674		Enolase	AT1G74030
Zm00001d005675	emp2	empty pericarp 2	AT1G52640
Zm00001d005676		Thioesterase superfamily protein	
Zm00001d005678		Protein ALTERED XYLOGLUCAN 4	AT1G70230
Zm00001d005679		TIM-barrel signal transduction protein isoform 2	
Zm00001d005680		Protein ALTERED XYLOGLUCAN 4	AT1G70230
Zm00001d005681		RNA ligase/cyclic nucleotide phosphodiesterase family protein	AT3G28140,AT5G40190
Zm00001d005682		Protein kinase superfamily protein	AT1G24030
Zm00001d005685		RING-H2 finger protein ATL46	
Zm00001d005687	trps5	trehalose-6-phosphate synthase5	AT1G60140,AT1G70290,AT1G23870
Zm00001d005688		UDP-glycosyltransferase 90A1	AT5G14860,AT1G10400,AT2G16890
Zm00001d005690		UDP-glycosyltransferase 90A1	AT5G14860,AT1G10400,AT2G16890
Zm00001d005692	hb34	Homeobox-transcription factor 34	
Zm00001d005694	prin2	plastid redox insensitive2	AT1G10522
Zm00001d005695		Succinate dehydrogenase subunit 7A mitochondrial	AT3G47833,AT5G62575
Zm00001d005696	mkkk16	MAP kinase kinase kinase16	AT3G06030
Zm00001d005698		AN17	AT3G28210
Zm00001d005699	csu270	Ubiquitin-protein ligase	AT5G62560,AT3G47820,AT5G65200,AT5G40140
Zm00001d005700		60S ribosomal protein L23	
Zm00001d005701		Ankyrin repeat-containing protein	
Zm00001d005705		Chromatin remodeling protein EBS	
Zm00001d005706		Probable N-acetyltransferase HLS1	
Zm00001d005707		AUGMIN subunit 5	AT5G38880
Zm00001d005708		Protein EDS1	AT3G48090,AT3G48080
Zm00001d005711		malonyl-CoA decarboxylase family protein	AT4G04320
Zm00001d005712		Surfeit locus protein 1	
Zm00001d005713		Annexin	AT1G68090
Zm00001d005715		Vacuolar iron transporter 1	
Zm00001d005716	cl63689_1	carbon-sulfur lyases	AT5G16940
Zm00001d005717		carbon-sulfur lyases	AT5G16940
Zm00001d005719		carbon-sulfur lyases	AT5G16940
Zm00001d005722		carbon-sulfur lyases	AT5G16940
Zm00001d005726	zim15	ZIM-transcription factor 15	AT3G17860,AT1G48500
Zm00001d005727		Plant UBX domain-containing protein 2	AT2G01650
Zm00001d005729		Cytokinin hydroxylase	
Zm00001d005732		Ubiquitin receptor RAD23c	
Zm00001d005735		Protein kinase superfamily protein	AT1G70740
Zm00001d005736		Transcription initiation factor TFIID subunit 2	
Zm00001d005737	wab1	Wavy auricles in blades1	
Zm00001d005740	bhlh138	bHLH-transcription factor 138	
Zm00001d005741		NAD(P)H-quinone oxidoreductase subunit L chloroplastic	AT1G70760
Zm00001d005745		Putative serine esterase  family protein	
Zm00001d005748	cipk9	calcineurin B-like-interacting protein kinase9	AT2G25090,AT5G10930,AT5G25110
Zm00001d005749	wrky55	WRKY-transcription factor 55	
Zm00001d005750		Transcription factor bHLH69	
Zm00001d005751		Golgi SNAP receptor complex member 1	AT1G15880
Zm00001d005752		DUF868 family protein	AT2G25200,AT5G11000
Zm00001d005753		60S ribosomal protein L26-1	
Zm00001d005754		Ribonuclease 3-like protein 1	
Zm00001d005756		ATP-dependent 6-phosphofructokinase 5 chloroplastic	AT2G22480
Zm00001d005757	zhd20	ZF-HD-transcription factor 20	AT3G28920,AT5G39760,AT5G15210
Zm00001d005759		myosin heavy chain-related	
Zm00001d005760	myb35	MYB-transcription factor 35	AT5G62470,AT1G74650,AT3G47600,AT3G28910
Zm00001d005762		alpha/beta-Hydrolases superfamily protein	AT1G74640
Zm00001d005763	tcptf37	TCP-transcription factor 37	
Zm00001d005765		RING/FYVE/PHD zinc finger superfamily protein	AT3G47550,AT5G62460
Zm00001d005766	pco105720b	Calmodulin-like protein	
Zm00001d005767		DNA glycosylase superfamily protein	
Zm00001d005769		BTB/POZ domain-containing protein NPY1	AT4G31820
Zm00001d005770	pld8	phospholipase D8	
Zm00001d005773		Zinc finger protein 346	
Zm00001d005775		Cellulose synthase A catalytic subunit 7 [UDP-forming]	AT5G17420
Zm00001d005776		Putative leucine-rich repeat receptor-like serine/threonine-protein kinase	
Zm00001d005778		Phosphatidylinositol/phosphatidylcholine transfer protein SFH8	
Zm00001d005779		ubiquitin carrier protein 7	
Zm00001d005780		Gamma-glutamyl peptidase 1	
Zm00001d005781	gex2	gamete expressed2	AT5G49150
Zm00001d005782		Glutamate receptor 2.7	
Zm00001d005783		Glutamate receptor 2.7	
Zm00001d005784	myb111	MYB-transcription factor 111	
Zm00001d005785		Pentatricopeptide repeat-containing protein	AT5G10690
Zm00001d005786		Zinc finger protein 2	AT3G09290,AT5G06070
Zm00001d005787		Zinc finger protein 2	AT3G09290,AT5G06070
Zm00001d005788		Zinc finger protein 2	AT3G09290,AT5G06070
Zm00001d005789	his2b3	histone 2B3	AT3G45980,AT3G46030,AT2G28720,AT1G07790,AT5G22880,AT5G59910
Zm00001d005790		Galactosyltransferase family protein	
Zm00001d005791		Histone H4	
Zm00001d005792	pme4	pectin methylesterase4	AT2G26450,AT4G33230
Zm00001d005793	mc1	mucronate1	
Zm00001d005794	arid2	ARID-transcription factor 2	AT3G43240
Zm00001d005795		Protein binding protein	AT5G20910
Zm00001d005798	ereb202	AP2-EREBP-transcription factor 202	
Zm00001d005799		Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	
Zm00001d005802		SAUR-like auxin-responsive protein family	AT5G20820
Zm00001d005803		SAUR-like auxin-responsive protein family	AT3G43120,AT5G20810
Zm00001d005804		Auxin-repressed protein	
Zm00001d005806		protein kinase-related	
Zm00001d005808		Probable ethanolamine kinase	AT2G26830
Zm00001d005812	cl21464_1	sterile alpha motif (SAM) domain-containing protein	AT2G45700
Zm00001d005813	zim13	ZIM-transcription factor 13	
Zm00001d005814		Photosystem I chlorophyll a/b-binding protein 6 chloroplastic	AT1G19150
Zm00001d005816		exocyst subunit exo70 family protein D1	AT1G72470,AT1G54090,AT3G14090
Zm00001d005817	cl10049_1	Lung seven transmembrane receptor family protein	AT1G72480
Zm00001d005818	aldh20	aldehyde dehydrogenase20	AT1G54100
Zm00001d005819		Copper transporter 5	
Zm00001d005821		Flavonoid 3-monooxygenase	
Zm00001d005822	cyp12	cytochrome P450 12	
Zm00001d005823		Flavonoid 3-monooxygenase	
Zm00001d005824		Guanine nucleotide-binding protein subunit gamma 3	AT5G20635
Zm00001d005826		Probable GTP diphosphokinase RSH2 chloroplastic	
Zm00001d005828		Thiol protease aleurain	
Zm00001d005829		Protein kinase superfamily protein	
Zm00001d005831	pza01735	Phospholipid:diacylglycerol acyltransferase 1	AT5G13640
Zm00001d005833	pco060133d	Protein Brevis radix-like 4	AT1G54180,AT3G14000
Zm00001d005834		Mitochondrial carrier-like protein	
Zm00001d005837		Zinc finger protein 8	AT2G41940,AT3G58070
Zm00001d005838		Actin cross-linking protein	
Zm00001d005839		SEC1 family transport protein SLY1	
Zm00001d005841	bhlh20	bHLH-transcription factor 20	AT3G50330,AT5G67060
Zm00001d005842		saposin B domain-containing protein	
Zm00001d005843	hsftf2	HSF-transcription factor 2	AT1G46264
Zm00001d005844		Alpha carbonic anhydrase 4	
Zm00001d005846		F-box protein	AT1G10780
Zm00001d005847		BEST Arabidopsis thaliana protein match is: hydroxyproline-rich glycoprotein family protein (TAIR:AT3G56590.2); Fungi - 0; Metazoa - 0; Other Eukaryo /.../0 (source: NCBI BLink).; Bacteria - 0; Has 78 Blast hits to 78 proteins in 11 species: Archae - 0; Viruses - 0; Plants - 78	
Zm00001d005848		RHOMBOID-like protein 10 chloroplastic	AT1G25290
Zm00001d005849		Histone H3 K4-specific methyltransferase SET7/9 family protein	AT1G21920,AT1G77660
Zm00001d005851		Prolyl oligopeptidase family protein	AT5G66960
Zm00001d005852		Prolyl oligopeptidase family protein	
Zm00001d005853		Gibberellin receptor GID1	
Zm00001d005854		DNA-directed DNA polymerases	
Zm00001d005856		Nuclear pore complex protein NUP58	AT4G37130
Zm00001d005857	cl15300_1	Transmembrane emp24 domain-containing protein 10	
Zm00001d005858	TIDP2671	Transmembrane protein 50A	AT1G36980
Zm00001d005859		Eukaryotic aspartyl protease family protein	
Zm00001d005860		Eukaryotic aspartyl protease family protein	
Zm00001d005865	gbptf8	GeBP-transcription factor 8	AT1G11510,AT2G01370,AT4G25210,AT4G00390,AT1G61730
Zm00001d005866		Protein disulfide-isomerase like 2-2	
Zm00001d005867		HVA22-like protein d	
Zm00001d005869		Putative clathrin assembly protein	AT1G68110,AT1G25240
Zm00001d005871		Protein SHOOT GRAVITROPISM 5	AT1G68130,AT1G25250,AT2G01940
Zm00001d005875	hb59	Homeobox-transcription factor 59	AT5G06710
Zm00001d005876		Helicase protein MOM1	
Zm00001d005881		Remorin family protein	
Zm00001d005882		Digalactosyldiacylglycerol synthase 1 chloroplastic	
Zm00001d005883		OSJNBa0058K23.15 protein;  protein	
Zm00001d005884	bzip123	bZIP-transcription factor 123	
Zm00001d005888	hsftf1	HSF-transcription factor 1	AT4G36990
Zm00001d005889	abh5	abscisic acid 8'-hydroxylase5	AT3G19270
Zm00001d005890	amya3	alpha amylase3	AT4G25000
Zm00001d005892	ereb211	AP2-EREBP-transcription factor 211	AT4G34410
Zm00001d005893		Protein WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT 1	
Zm00001d005894		Leucine-rich repeat (LRR) family protein	
Zm00001d005895		EF hand family protein	
Zm00001d005899		DNAJ heat shock N-terminal domain-containing protein	AT4G10130
Zm00001d005902	pco137522	Sec23/Sec24 protein transport family protein	AT2G21630
Zm00001d005905		Probable carboxylesterase 2	
Zm00001d005908	AI861369	Tyrosine-sulfated glycopeptide receptor 1	
Zm00001d005909		Gibberellin receptor GID1L2	
Zm00001d005910		Probable carboxylesterase 2	AT1G49640,AT1G49650,AT3G48690,AT3G48700,AT1G49660,AT2G03550,AT1G19190
Zm00001d005911		Patatin-like protein 2	AT2G26560
Zm00001d005912	cl773_2	Polyadenylate-binding protein RBP47B	AT1G47500,AT1G47490
Zm00001d005913		Serine carboxypeptidase-like 40	
Zm00001d005915		Wall-associated receptor kinase-like protein 2	
Zm00001d005917		Ternary complex factor MIP1-like protein;  protein	AT5G42690,AT4G37080
Zm00001d005918		Protein MIZU-KUSSEI 1	
Zm00001d005919	bhlh169	bHLH-transcription factor 169	
Zm00001d005920	cah4	carbonic anhydrase4	AT4G33580
Zm00001d005923		AT-hook motif nuclear-localized protein 17	AT5G49700,AT1G14490
Zm00001d005924		MADS box interactor-like	
Zm00001d005925		Glucose-6-phosphate isomerase 1 chloroplastic	AT4G24620
Zm00001d005926		Threonine endopeptidase	AT4G38100
Zm00001d005927		1-aminocyclopropane-1-carboxylate oxidase 1	
Zm00001d005928		D-type cyclin	AT2G22490
Zm00001d005931	zhd16	ZF-HD-transcription factor 16	AT5G65410,AT4G24660
Zm00001d005932		Aldose reductase	
Zm00001d005933		PUP1	AT1G28230,AT1G28220,AT2G33750
Zm00001d005934		Purine permease 3	
Zm00001d005935		Purine permease 3	AT1G28230,AT1G28220,AT2G33750
Zm00001d005936		E3 ubiquitin-protein ligase ATL6	AT3G05200,AT5G27420
Zm00001d005939	bhlh33	bHLH-transcription factor 33	
Zm00001d005940		RING-H2 finger protein ATL54	AT4G33565
Zm00001d005948	isol1	isoamylase3-like1	
Zm00001d005949		Isoamylase 3 chloroplastic	
Zm00001d005950	dct1	dicarboxylic acid transporter1	AT5G64290
Zm00001d005951	hb54	Homeobox-transcription factor 54	AT2G22430,AT4G40060,AT5G65310
Zm00001d005957		Signal transducer	
Zm00001d005958	mbd117	methyl binding domain117	
Zm00001d005959	emp6	empty pericarp6	AT4G08940
Zm00001d005962	bzip82	bZIP-transcription factor 82	AT3G30530,AT5G38800,AT2G04038,AT1G13600,AT5G15830
Zm00001d005964	bhlh151	bHLH-transcription factor 151	AT1G26260,AT1G68920
Zm00001d005966		Phosphatidylinositol 4-kinase gamma 7	AT2G03890,AT1G13640,AT1G26270
Zm00001d005968		TatD related DNase	
Zm00001d005969	bhlh157	bHLH-transcription factor 157	AT5G08130
Zm00001d005970	dof2	DNA binding with one finger2	
Zm00001d005971		Fasciclin-like arabinogalactan protein 2	
Zm00001d005973		Serine carboxypeptidase-like 40	
Zm00001d005974		Serine carboxypeptidase-like 40	
Zm00001d005976	bcd926b	Serine/threonine-protein kinase D6PKL1	AT5G47750
Zm00001d005978	xer1	xerico1	AT2G04240
Zm00001d005981		Probable galacturonosyltransferase 4	
Zm00001d005982		cellulose synthase/ transferase transferring glycosyl groups; AT5G44030 (E=6e-024) CESA4 IRX5 NWS2 | CESA4 (CELLULOSE SYNTHASE A4)	
Zm00001d005986		Probable LRR receptor-like serine/threonine-protein kinase	AT4G26540,AT5G56040
Zm00001d005993	ca5p12	CCAAT-HAP5-transcription factor 512	
Zm00001d005995	IDP504	Phosphatidylinositol/phosphatidylcholine transfer protein SFH13	
Zm00001d005996		Photosystem I reaction center subunit V	AT1G55670
Zm00001d005997	mlkp3	Maize LINC KASH AtWIP-like3	AT4G26455,AT5G56210,AT3G13360
Zm00001d005998		Caffeoyl-CoA O-methyltransferase 1	
Zm00001d006000		Ubiquitin-like superfamily protein	
Zm00001d006001	wrky71	WRKY-transcription factor 71	
Zm00001d006008	pza03529	Heat shock protein 90-2	AT5G56000,AT5G56010,AT5G56030
Zm00001d006009		Fasciclin-like arabinogalactan protein 7	AT2G04780
Zm00001d006011	upl1	ubiquitin-protein ligase1	AT4G12570
Zm00001d006013		Whole genome shotgun sequence of line PN40024 scaffold_64.assembly12x (Fragment)	
Zm00001d006014		Whole genome shotgun sequence of line PN40024 scaffold_64.assembly12x (Fragment)	
Zm00001d006016		Multiple stress-responsive zinc-finger protein ISAP1	AT3G12630
Zm00001d006017		Serine/threonine-protein kinase UCNL	AT3G20830,AT1G51170
Zm00001d006019		OTU domain-containing protein	AT3G57810
Zm00001d006022	bhlh6	bHLH-transcription factor 6	AT2G42280
Zm00001d006025		IRK-interacting protein	AT5G12900
Zm00001d006026		Lysine-specific demethylase JMJ30	AT3G20810
Zm00001d006027	bzip85	bZIP-transcription factor 85	AT5G06839
Zm00001d006028	sbp23	SBP-transcription factor 23	AT3G57920,AT2G42200
Zm00001d006030	cl9715_1b	ENT domain containing protein	
Zm00001d006033		Inactive LRR receptor-like serine/threonine-protein kinase BIR2	
Zm00001d006034	umc2380	DNA binding protein	AT2G33620
Zm00001d006036	magi98796	Heat shock 70 kDa protein 9 mitochondrial	
Zm00001d006037		NAD(P)-binding Rossmann-fold superfamily protein	AT1G76470
Zm00001d006040		3-hydroxy-3-methylglutaryl-coenzyme A reductase 2	AT1G76490
Zm00001d006041		Proton pump-interactor 1	AT1G20970
Zm00001d006042		Cysteine/Histidine-rich C1 domain family protein	AT1G20990
Zm00001d006043		Cytokinin-O-glucosyltransferase 2	
Zm00001d006045		Uroporphyrinogen-III synthase	
Zm00001d006046	mbd111	methyl binding domain111	AT5G35330
Zm00001d006047		Inosine triphosphate pyrophosphatase	
Zm00001d006049		Protein pob	AT4G12590
Zm00001d006050		Cysteine proteinases superfamily protein	
Zm00001d006051		Lipid binding protein	
Zm00001d006052		myosin heavy chain-related	AT4G31340,AT2G24420
Zm00001d006053	nactf24	NAC-transcription factor 24	AT2G24430
Zm00001d006054		Pathogenesis-related thaumatin superfamily protein	AT5G24620
Zm00001d006055		RNA-binding KH domain-containing protein	AT1G51580
Zm00001d006056		L-ascorbate peroxidase 2 cytosolic	
Zm00001d006057	gpm566c	O-fucosyltransferase family protein	AT1G51630,AT3G21190
Zm00001d006059		MTD1	
Zm00001d006061		Oxidoreductase	AT4G26965
Zm00001d006063		Type II inositol polyphosphate 5-phosphatase 15	AT1G05630,AT2G31830,AT2G43900
Zm00001d006064		60S ribosomal protein L32-1	AT4G18100,AT5G46430
Zm00001d006065	bhlh121	bHLH-transcription factor 121	
Zm00001d006066		FK506-binding protein 2-1	
Zm00001d006067		FK506-binding protein 2-1	
